,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
87,camacha,20,PT,1578088819,67,33.08,-16.33,64.4,8.05
88,biltine,0,TD,1578088819,29,14.53,20.93,62.44,18.07
89,atar,100,MR,1578088819,16,20.52,-13.05,59.41,11.95
90,nosy varika,100,MG,1578088819,90,-20.58,48.53,76.68,6.4
91,vavoua,3,CI,1578088819,23,7.38,-6.48,73.54,2.28
92,charqueadas,40,BR,1578088869,57,-29.96,-51.62,78.8,17.22
93,haines junction,100,CA,1578088869,99,60.75,-137.51,-6.2,6.46
94,letka,0,BA,1578088869,79,43.74,17.27,28.4,3.36
95,college,40,US,1578088869,67,64.86,-147.8,-5.01,3.74
96,taltal,0,CL,1578088869,70,-25.41,-70.49,65.41,8.41
97,busselton,0,AU,1578088805,51,-33.64,115.35,46.0,8.77
98,faanui,54,PF,1578088869,80,-16.48,-151.75,81.37,12.93
99,kandrian,100,PG,1578088870,95,-6.21,149.55,74.61,2.66
100,soyo,100,AO,1578088870,88,-6.13,12.37,78.06,3.89
101,bluff,30,AU,1578088870,75,-23.58,149.07,72.28,10.8
102,krasnovishersk,100,RU,1578088870,97,60.4,57.08,30.52,11.21
103,bonthe,96,SL,1578088870,69,7.53,-12.5,78.31,5.28
104,koslan,100,RU,1578088870,97,63.46,48.9,33.42,12.71
105,varberg,64,SE,1578088870,80,57.11,12.25,43.0,20.8
106,dunedin,49,NZ,1578088870,52,-45.87,170.5,54.0,38.01
107,tiksi,97,RU,1578088870,80,71.64,128.87,-19.19,5.5
108,los andes,0,CL,1578088870,37,-32.83,-70.6,84.2,21.92
109,virtsu,77,EE,1578088870,71,58.57,23.51,39.99,8.05
110,vilhena,40,BR,1578088870,74,-12.74,-60.15,78.8,10.29
111,trinidad,75,BO,1578088810,74,-14.83,-64.9,86.0,0.72
112,strenci,100,LV,1578088870,97,57.63,25.69,36.0,7.0
113,ahipara,100,NZ,1578088870,71,-35.17,173.16,63.12,21.77
114,leningradskiy,0,RU,1578088871,76,69.38,178.42,-7.65,13.8
115,coquimbo,75,CL,1578088871,72,-29.95,-71.34,62.6,11.41
116,ilulissat,40,GL,1578088871,52,69.22,-51.1,17.6,5.82
117,birin,100,NP,1578088871,95,26.89,88.07,40.95,2.48
118,cherskiy,63,RU,1578088871,67,68.75,161.3,1.56,11.45
119,ginir,23,ET,1578088871,78,7.14,40.71,59.45,4.94
120,east london,100,ZA,1578088871,94,-33.02,27.91,73.45,15.01
121,srednekolymsk,0,RU,1578088871,78,67.46,153.71,-2.07,2.71
122,burnie,100,AU,1578088871,74,-41.05,145.91,68.0,5.01
123,volot,100,RU,1578088871,84,57.93,30.71,38.03,13.8
124,rincon,40,PA,1578088871,70,8.46,-82.28,86.0,9.17
125,sao filipe,85,CV,1578088871,73,14.9,-24.5,71.44,13.04
126,cockburn town,1,TC,1578088871,82,21.46,-71.14,78.31,17.27
127,point pedro,7,LK,1578088871,82,9.82,80.23,80.6,13.8
128,plainview,1,US,1578088871,36,34.18,-101.71,52.0,10.29
129,tautira,75,PF,1578088872,70,-17.73,-149.15,86.0,21.92
130,arraial do cabo,75,BR,1578088872,94,-22.97,-42.02,78.8,12.75
131,hudson bay,53,CA,1578088872,87,52.86,-102.4,15.8,6.44
132,castro verde,78,PT,1578088872,76,37.7,-8.08,52.0,5.82
133,clyde river,5,CA,1578088872,66,70.47,-68.59,-29.2,13.87
134,shiyan,2,CN,1578088872,63,32.65,110.78,37.29,1.68
135,knysna,43,ZA,1578088922,93,-34.04,23.05,66.2,3.36
136,narsaq,100,GL,1578088922,31,60.91,-46.05,35.6,43.62
137,kahului,40,US,1578088922,74,20.89,-156.47,78.8,16.11
138,rawson,40,AR,1578088922,23,-43.3,-65.11,98.6,17.22
139,namibe,100,AO,1578088922,94,-15.19,12.15,72.03,5.59
140,kendari,100,ID,1578088922,96,-3.99,122.52,74.86,0.94
141,qaanaaq,100,GL,1578088922,97,77.48,-69.36,-40.18,7.56
142,kangaba,36,ML,1578088923,14,11.94,-8.41,66.78,6.06
143,dicabisagan,83,PH,1578088923,87,17.08,122.42,73.11,10.56
144,chokurdakh,24,RU,1578088923,97,70.62,147.9,-17.64,4.85
145,souillac,90,FR,1578088923,93,45.6,-0.6,51.01,3.36
146,badou,0,TG,1578088923,28,7.58,0.61,71.19,2.51
147,nanortalik,100,GL,1578088923,61,60.14,-45.24,33.46,5.41
148,isangel,13,VU,1578088923,61,-19.55,169.27,82.4,6.93
149,holme,33,DK,1578088923,80,56.11,10.17,41.0,18.34
150,nuuk,40,GL,1578088923,73,64.17,-51.74,23.0,10.29
151,gubkinskiy,100,RU,1578088923,93,64.43,76.5,7.02,21.92
152,campoverde,75,EC,1578088923,76,-0.91,-78.62,57.2,2.24
153,ribeira grande,75,PT,1578088923,93,38.52,-28.7,60.8,13.87
154,pevek,67,RU,1578088924,63,69.7,170.27,-0.49,8.57
155,novobirilyussy,97,RU,1578088924,90,56.95,90.69,22.59,9.78
156,vila velha,20,BR,1578088717,74,-3.71,-38.6,86.0,8.05
157,olinda,20,AU,1578088924,27,-37.84,145.39,79.0,17.22
158,diego de almagro,0,CL,1578088924,26,-26.39,-70.05,78.31,12.03
159,te anau,100,NZ,1578088924,69,-45.41,167.72,43.68,4.81
160,geraldton,90,CA,1578088924,78,49.72,-86.95,17.6,5.82
161,upernavik,100,GL,1578088924,99,72.79,-56.15,-7.73,14.83
162,manglaur,0,IN,1578088925,89,29.79,77.88,50.41,2.95
163,ust-maya,0,RU,1578088925,96,60.42,134.54,-32.75,2.42
164,puliyur,75,IN,1578088925,94,10.94,78.14,77.0,6.53
165,saint-augustin,90,CA,1578088925,80,45.63,-73.98,39.99,4.7
166,tashigang,100,CN,1578088925,96,29.3,88.13,7.07,5.35
167,eyl,93,SO,1578088925,81,7.98,49.82,78.17,18.57
168,saint-pierre,75,FR,1578088925,93,48.95,4.24,48.2,14.99
169,robertsonpet,75,IN,1578088925,100,12.96,78.27,68.0,9.17
170,vanderhoof,100,CA,1578088924,94,54.02,-124.02,27.5,9.22
171,aykhal,0,RU,1578088925,75,65.95,111.51,-16.6,2.24
172,eenhana,100,NA,1578088925,78,-17.48,16.34,75.2,2.24
173,bibiani,9,GH,1578088925,25,6.45,-2.31,72.16,2.91
174,ucluelet,90,CA,1578088665,100,48.94,-125.55,52.0,31.09
175,itarema,40,BR,1578088926,83,-2.92,-39.92,82.4,13.87
176,pangnirtung,90,CA,1578088926,77,66.15,-65.72,6.8,6.93
177,talcahuano,0,CL,1578088926,47,-36.72,-73.12,78.8,17.22
178,astana,90,KZ,1578088926,92,51.13,71.43,26.6,8.95
